Timestamp,PM2.5,PM10
2021-01-03 00:07:22.156,5,5
2021-01-03 00:07:22.888,5,5
2021-01-03 00:07:23.617,5,5
2021-01-03 00:07:25.074,3,3
2021-01-03 00:07:26.504,3,3
2021-01-03 00:07:27.233,2,2
2021-01-03 00:07:28.056,2,2
2021-01-03 00:07:28.785,2,2
2021-01-03 00:07:29.513,2,2
2021-01-03 00:07:31.672,1,1
2021-01-03 00:07:33.132,1,1
2021-01-03 00:07:34.562,1,1
2021-01-03 00:07:35.290,1,1
2021-01-03 00:07:36.019,1,1
2021-01-03 00:07:36.748,1,1
2021-01-03 00:07:39.638,1,1
2021-01-03 00:07:40.366,1,1
2021-01-03 00:07:41.094,2,2
2021-01-03 00:07:41.823,2,2
2021-01-03 00:07:43.253,2,2
2021-01-03 00:07:43.984,2,2
2021-01-03 00:07:44.713,2,2
2021-01-03 00:07:45.442,2,2
2021-01-03 00:07:46.871,2,3
2021-01-03 00:07:47.600,2,3
2021-01-03 00:07:48.331,2,3
2021-01-03 00:07:49.064,2,3
2021-01-03 00:07:49.793,2,5
2021-01-03 00:07:51.222,2,5
2021-01-03 00:07:51.952,2,5
2021-01-03 00:07:52.681,2,5
2021-01-03 00:07:54.842,3,6
2021-01-03 00:07:55.571,3,5
2021-01-03 00:07:57.028,3,5
2021-01-03 00:07:59.186,2,5
2021-01-03 00:07:59.918,2,5
2021-01-03 00:08:00.646,3,5
2021-01-03 00:08:01.375,3,5
2021-01-03 00:08:02.805,2,5
2021-01-03 00:08:03.533,2,5
2021-01-03 00:08:04.262,3,3
2021-01-03 00:08:04.993,3,3
2021-01-03 00:08:05.722,5,5
2021-01-03 00:08:07.152,5,5
2021-01-03 00:08:07.880,3,3
2021-01-03 00:08:09.338,3,3
2021-01-03 00:08:10.070,3,3
2021-01-03 00:08:11.499,3,3
2021-01-03 00:08:12.228,3,3
2021-01-03 00:08:12.957,2,2
2021-01-03 00:08:15.849,2,2
2021-01-03 00:08:16.578,3,3
2021-01-03 00:08:17.307,3,3
2021-01-03 00:08:18.035,3,3
2021-01-03 00:08:19.465,3,3
2021-01-03 00:08:20.194,3,3
2021-01-03 00:08:20.926,3,3
2021-01-03 00:08:21.655,2,2
2021-01-03 00:08:22.384,2,2
2021-01-03 00:08:23.814,2,5
2021-01-03 00:08:25.272,2,3
2021-01-03 00:08:26.003,2,3
2021-01-03 00:08:27.433,2,3
2021-01-03 00:08:28.161,2,3
2021-01-03 00:08:29.619,2,3
2021-01-03 00:08:31.049,2,3
2021-01-03 00:08:31.780,2,3
2021-01-03 00:08:32.508,2,3
2021-01-03 00:08:33.237,2,3
2021-01-03 00:08:33.966,2,3
2021-01-03 00:08:35.396,2,3
2021-01-03 00:08:36.855,2,3
2021-01-03 00:08:37.584,1,3
2021-01-03 00:08:38.313,1,3
2021-01-03 00:08:39.742,2,3
2021-01-03 00:08:40.471,2,3
2021-01-03 00:08:41.199,1,1
2021-01-03 00:08:41.931,1,1
2021-01-03 00:08:43.361,1,1
2021-01-03 00:08:44.090,1,1
2021-01-03 00:08:45.547,1,1
2021-01-03 00:08:46.276,1,1
2021-01-03 00:08:48.436,1,1
2021-01-03 00:08:49.164,1,1
2021-01-03 00:08:49.893,1,1
2021-01-03 00:08:50.622,1,1
2021-01-03 00:08:52.052,1,1
2021-01-03 00:08:54.243,1,1
2021-01-03 00:08:55.672,1,1
2021-01-03 00:08:56.401,1,1
2021-01-03 00:08:57.130,2,2
2021-01-03 00:08:57.861,2,2
2021-01-03 00:08:59.291,2,2
2021-01-03 00:09:00.748,2,2
2021-01-03 00:09:01.477,2,2
2021-01-03 00:09:02.206,3,3
2021-01-03 00:09:04.367,3,3
2021-01-03 00:09:05.095,3,3
2021-01-03 00:09:05.824,3,3
2021-01-03 00:09:06.553,3,3
2021-01-03 00:09:07.983,3,3
2021-01-03 00:09:08.711,3,3
2021-01-03 00:09:09.440,2,2
2021-01-03 00:09:13.056,2,2
2021-01-03 00:09:13.788,2,2
2021-01-03 00:09:15.946,2,2
2021-01-03 00:09:16.675,2,2
2021-01-03 00:09:17.404,2,2
2021-01-03 00:09:18.133,2,2
2021-01-03 00:09:18.864,2,2
2021-01-03 00:09:21.022,1,1
2021-01-03 00:09:21.751,2,2
2021-01-03 00:09:22.480,2,2
2021-01-03 00:09:23.910,2,2
2021-01-03 00:09:24.639,2,2
2021-01-03 00:09:26.096,2,2
2021-01-03 00:09:28.255,2,2
2021-01-03 00:09:28.984,3,3
2021-01-03 00:09:29.715,3,3
2021-01-03 00:09:30.444,3,3
2021-01-03 00:09:31.874,3,3
2021-01-03 00:09:33.332,2,2
2021-01-03 00:09:34.060,2,2
2021-01-03 00:09:34.791,2,2
2021-01-03 00:09:36.221,2,2
2021-01-03 00:09:37.679,2,2
2021-01-03 00:09:38.407,2,2
2021-01-03 00:09:39.837,1,1
2021-01-03 00:09:40.565,1,1
2021-01-03 00:09:41.294,1,1
2021-01-03 00:09:42.023,1,1
2021-01-03 00:09:44.910,1,1
2021-01-03 00:09:45.641,1,1
2021-01-03 00:09:47.099,1,1
2021-01-03 00:09:48.528,1,1
2021-01-03 00:09:49.257,1,1
2021-01-03 00:09:49.986,1,1
2021-01-03 00:09:50.717,1,1
2021-01-03 00:09:52.147,1,1
2021-01-03 00:09:53.604,0,0
2021-01-03 00:09:54.333,0,0
2021-01-03 00:09:55.763,0,0
2021-01-03 00:09:56.494,0,0
2021-01-03 00:09:57.223,1,1
2021-01-03 00:10:00.110,1,1
2021-01-03 00:10:00.839,0,0
